frame,teaching_style,slidesarea,studentsarea,pointingslides,lookingstudents,computerarea,whiteboardarea,facingstudents
291,No Pose Detected,0,0,0,0,0,0,0
292,No Pose Detected,0,0,0,0,0,0,0
293,No Pose Detected,0,0,0,0,0,0,0
294,No Pose Detected,0,0,0,0,0,0,0
295,No Pose Detected,0,0,0,0,0,0,0
296,No Pose Detected,0,0,0,0,0,0,0
297,No Pose Detected,0,0,0,0,0,0,0
298,No Pose Detected,0,0,0,0,0,0,0
299,No Pose Detected,0,0,0,0,0,0,0
300,No Pose Detected,0,0,0,0,0,0,0
301,No Pose Detected,0,0,0,0,0,0,0
302,No Pose Detected,0,0,0,0,0,0,0
303,No Pose Detected,0,0,0,0,0,0,0
304,No Pose Detected,0,0,0,0,0,0,0
305,No Pose Detected,0,0,0,0,0,0,0
306,No Pose Detected,0,0,0,0,0,0,0
307,No Pose Detected,0,0,0,0,0,0,0
308,No Pose Detected,0,0,0,0,0,0,0
309,No Pose Detected,0,0,0,0,0,0,0
310,No Pose Detected,0,0,0,0,0,0,0
311,No Pose Detected,0,0,0,0,0,0,0
312,No Pose Detected,0,0,0,0,0,0,0
313,No Pose Detected,0,0,0,0,0,0,0
314,No Pose Detected,0,0,0,0,0,0,0
315,No Pose Detected,0,0,0,0,0,0,0
316,No Pose Detected,0,0,0,0,0,0,0
317,No Pose Detected,0,0,0,0,0,0,0
318,No Pose Detected,0,0,0,0,0,0,0
319,No Pose Detected,0,0,0,0,0,0,0
320,No Pose Detected,0,0,0,0,0,0,0
321,No Pose Detected,0,0,0,0,0,0,0
322,No Pose Detected,0,0,0,0,0,0,0
323,No Pose Detected,0,0,0,0,0,0,0
324,No Pose Detected,0,0,0,0,0,0,0
325,No Pose Detected,0,0,0,0,0,0,0
326,No Pose Detected,0,0,0,0,0,0,0
327,No Pose Detected,0,0,0,0,0,0,0
328,No Pose Detected,0,0,0,0,0,0,0
329,No Pose Detected,0,0,0,0,0,0,0
330,No Pose Detected,0,0,0,0,0,0,0
331,No Pose Detected,0,0,0,0,0,0,0
332,No Pose Detected,0,0,0,0,0,0,0
333,No Pose Detected,0,0,0,0,0,0,0
334,No Pose Detected,0,0,0,0,0,0,0
335,No Pose Detected,0,0,0,0,0,0,0
336,No Pose Detected,0,0,0,0,0,0,0
337,No Pose Detected,0,0,0,0,0,0,0
338,No Pose Detected,0,0,0,0,0,0,0
339,No Pose Detected,0,0,0,0,0,0,0
340,No Pose Detected,0,0,0,0,0,0,0
341,No Pose Detected,0,0,0,0,0,0,0
342,No Pose Detected,0,0,0,0,0,0,0
343,No Pose Detected,0,0,0,0,0,0,0
344,No Pose Detected,0,0,0,0,0,0,0
345,No Pose Detected,0,0,0,0,0,0,0
346,No Pose Detected,0,0,0,0,0,0,0
347,No Pose Detected,0,0,0,0,0,0,0
348,No Pose Detected,0,0,0,0,0,0,0
349,No Pose Detected,0,0,0,0,0,0,0
350,No Pose Detected,0,0,0,0,0,0,0
351,No Pose Detected,0,0,0,0,0,0,0
352,No Pose Detected,0,0,0,0,0,0,0
353,No Pose Detected,0,0,0,0,0,0,0
354,No Pose Detected,0,0,0,0,0,0,0
355,No Pose Detected,0,0,0,0,0,0,0
356,No Pose Detected,0,0,0,0,0,0,0
357,No Pose Detected,0,0,0,0,0,0,0
358,No Pose Detected,0,0,0,0,0,0,0
359,No Pose Detected,0,0,0,0,0,0,0
360,No Pose Detected,0,0,0,0,0,0,0
361,No Pose Detected,0,0,0,0,0,0,0
362,No Pose Detected,0,0,0,0,0,0,0
363,No Pose Detected,0,0,0,0,0,0,0
364,No Pose Detected,0,0,0,0,0,0,0
365,No Pose Detected,0,0,0,0,0,0,0
366,No Pose Detected,0,0,0,0,0,0,0
367,No Pose Detected,0,0,0,0,0,0,0
368,No Pose Detected,0,0,0,0,0,0,0
369,No Pose Detected,0,0,0,0,0,0,0
370,No Pose Detected,0,0,0,0,0,0,0
371,No Pose Detected,0,0,0,0,0,0,0
372,No Pose Detected,0,0,0,0,0,0,0
373,No Pose Detected,0,0,0,0,0,0,0
374,No Pose Detected,0,0,0,0,0,0,0
375,No Pose Detected,0,0,0,0,0,0,0
376,No Pose Detected,0,0,0,0,0,0,0
377,No Pose Detected,0,0,0,0,0,0,0
378,No Pose Detected,0,0,0,0,0,0,0
379,No Pose Detected,0,0,0,0,0,0,0
380,No Pose Detected,0,0,0,0,0,0,0
381,No Pose Detected,0,0,0,0,0,0,0
382,No Pose Detected,0,0,0,0,0,0,0
383,No Pose Detected,0,0,0,0,0,0,0
384,No Pose Detected,0,0,0,0,0,0,0
385,No Pose Detected,0,0,0,0,0,0,0
386,No Pose Detected,0,0,0,0,0,0,0
387,No Pose Detected,0,0,0,0,0,0,0
388,No Pose Detected,0,0,0,0,0,0,0
389,No Pose Detected,0,0,0,0,0,0,0
390,No Pose Detected,0,0,0,0,0,0,0
391,No Pose Detected,0,0,0,0,0,0,0
392,No Pose Detected,0,0,0,0,0,0,0
393,No Pose Detected,0,0,0,0,0,0,0
394,No Pose Detected,0,0,0,0,0,0,0
395,No Pose Detected,0,0,0,0,0,0,0
396,No Pose Detected,0,0,0,0,0,0,0
397,No Pose Detected,0,0,0,0,0,0,0
398,No Pose Detected,0,0,0,0,0,0,0
399,No Pose Detected,0,0,0,0,0,0,0
400,No Pose Detected,0,0,0,0,0,0,0
401,No Pose Detected,0,0,0,0,0,0,0
402,No Pose Detected,0,0,0,0,0,0,0
403,No Pose Detected,0,0,0,0,0,0,0
404,No Pose Detected,0,0,0,0,0,0,0
405,No Pose Detected,0,0,0,0,0,0,0
406,No Pose Detected,0,0,0,0,0,0,0
407,No Pose Detected,0,0,0,0,0,0,0
408,No Pose Detected,0,0,0,0,0,0,0
409,No Pose Detected,0,0,0,0,0,0,0
410,Passive Teaching,0,0,0,0,0,0,0
411,No Pose Detected,0,0,0,0,0,0,0
412,No Pose Detected,0,0,0,0,0,0,0
413,No Pose Detected,0,0,0,0,0,0,0
414,No Pose Detected,0,0,0,0,0,0,0
415,No Pose Detected,0,0,0,0,0,0,0
416,No Pose Detected,0,0,0,0,0,0,0
417,Passive Teaching,1,1,0,0,0,0,1
418,Passive Teaching,1,1,0,0,0,0,0
419,Passive Teaching,1,1,0,0,0,0,0
420,Passive Teaching,1,1,0,0,0,0,0
421,Passive Teaching,1,1,0,0,0,0,0
422,Passive Teaching,0,1,0,0,0,0,0
423,Passive Teaching,0,1,0,0,0,0,0
424,Passive Teaching,0,1,0,0,0,1,0
425,Passive Teaching,0,1,0,0,0,1,0
426,Passive Teaching,0,1,0,0,0,1,0
427,Passive Teaching,0,1,0,0,0,1,0
428,Passive Teaching,0,1,0,0,0,1,0
429,Passive Teaching,0,1,0,0,0,1,0
430,Passive Teaching,0,1,0,0,0,1,0
431,Passive Teaching,0,1,0,0,0,1,0
432,Passive Teaching,0,1,0,0,0,1,0
433,Passive Teaching,0,1,0,0,0,1,0
434,Passive Teaching,0,1,0,0,0,1,0
435,Passive Teaching,0,1,0,0,0,1,0
436,Passive Teaching,0,1,0,0,0,1,0
437,Passive Teaching,0,1,0,0,0,1,0
438,Passive Teaching,0,1,0,0,0,1,0
439,Passive Teaching,0,1,0,0,0,1,0
440,Passive Teaching,0,1,0,0,0,0,1
441,Passive Teaching,0,1,0,0,0,0,1
442,Passive Teaching,0,0,0,0,0,0,1
443,Passive Teaching,0,0,0,0,0,0,1
444,Passive Teaching,0,1,0,0,0,0,1
445,Active Gesturing,0,1,0,0,0,0,1
446,Active Gesturing,0,1,0,0,0,0,1
447,Active Gesturing,0,1,0,0,0,0,1
448,Active Gesturing,0,0,0,0,0,0,1
449,Active Gesturing,0,1,0,0,0,0,1
450,Active Gesturing,0,1,0,0,0,0,1
451,Active Gesturing,0,1,0,0,0,0,1
452,Active Gesturing,0,1,0,0,0,0,1
453,Active Gesturing,0,1,0,0,0,0,1
454,Active Gesturing,0,0,0,0,0,0,1
455,Active Gesturing,0,1,0,0,0,0,1
456,Active Gesturing,0,0,0,0,0,0,1
457,Active Gesturing,0,1,0,0,0,0,1
458,Active Gesturing,0,0,0,0,0,0,1
459,Active Gesturing,0,0,0,0,0,0,1
460,Active Gesturing,0,0,0,0,0,0,1
461,Active Gesturing,0,0,0,0,0,0,1
462,Active Gesturing,0,0,0,0,0,0,1
463,Active Gesturing,0,1,0,0,0,0,1
464,Active Gesturing,0,1,0,0,0,0,1
465,Active Gesturing,0,1,0,0,0,0,1
466,Active Gesturing,0,1,0,0,0,0,1
467,Active Gesturing,0,1,0,0,0,0,1
468,Active Gesturing,0,1,0,0,0,0,1
469,Active Gesturing,0,1,0,0,0,0,1
470,Active Gesturing,0,1,0,0,0,0,1
471,Active Gesturing,0,1,0,0,0,0,1
472,Active Gesturing,0,1,0,0,0,0,1
473,Active Gesturing,0,1,0,0,0,0,1
474,Active Gesturing,0,1,0,0,0,0,1
475,Active Gesturing,0,1,0,0,0,0,1
476,Active Gesturing,0,1,0,0,0,0,1
477,Active Gesturing,0,1,0,0,0,0,1
478,Active Gesturing,0,1,0,0,0,0,1
479,Active Gesturing,0,1,0,0,0,0,1
480,Active Gesturing,0,1,0,0,0,0,1
481,Active Gesturing,0,1,0,0,0,0,1
482,Active Gesturing,0,1,0,0,0,0,1
483,Active Gesturing,0,1,0,0,0,0,1
484,Active Gesturing,0,1,0,0,0,0,1
485,Active Gesturing,0,1,0,0,0,0,1
486,Active Gesturing,0,1,0,0,0,0,1
487,Active Gesturing,0,1,0,0,0,0,1
488,Active Gesturing,0,1,0,0,0,0,1
489,Active Gesturing,0,1,0,0,0,0,1
490,Active Gesturing,0,1,0,0,0,0,1
491,Active Gesturing,0,1,0,0,0,0,1
492,Active Gesturing,0,1,0,0,0,0,1
493,Active Gesturing,0,1,0,0,0,0,1
494,Active Gesturing,0,1,0,0,0,0,1
495,Active Gesturing,0,1,0,0,0,0,1
496,Active Gesturing,0,1,0,0,0,0,1
497,Active Gesturing,0,1,0,0,0,0,1
498,Active Gesturing,0,1,0,0,0,0,1
499,Active Gesturing,0,1,0,0,0,0,1
500,Active Gesturing,0,1,0,0,0,0,1
